getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,LinqUtils.filter(allVmDisks new Predicate<DiskImageBase>(){   @Override public boolean eval(  DiskImageBase o){     return o.getinternal_drive_mapping().equals(_oldDisk.getinternal_drive_mapping());   } } ),METHOD_INVOCATION, line no: 99, 0.0563933071679405, 0.8297872340425532, 0.3333333333333333, 0.20388349514563106
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,new HotPlugDiskVDSParameters(getVm().getrun_on_vds().getValue() getVm().getId() _oldDisk oldVmDevice),CLASS_INSTANCE_CREATION, line no: 188, 0.05233380480905234, 0.7551020408163265, 0.5, 0.13861386138613863
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,allVmDisks.removeAll(LinqUtils.filter(allVmDisks new Predicate<DiskImageBase>(){   @Override public boolean eval(  DiskImageBase o){     return o.getinternal_drive_mapping().equals(_oldDisk.getinternal_drive_mapping());   } } )),METHOD_INVOCATION, line no: 99, 0.05216498693542366, 0.8297872340425532, 0.3333333333333333, 0.18859649122807018
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,get,SIMPLE_NAME, line no: 66, 0.046875, 1.0, 1.0, 0.046875
get,SIMPLE_NAME, line no: 66,getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66, 0.0458984375, 0.9791666666666666, 1.0, 0.046875
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,Backend.getInstance().getResourceManager().RunVdsCommand(commandType new HotPlugDiskVDSParameters(getVm().getrun_on_vds().getValue() getVm().getId() _oldDisk oldVmDevice)),METHOD_INVOCATION, line no: 183, 0.04406270305393112, 0.7291666666666666, 0.3333333333333333, 0.18128654970760233
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,LinqUtils.filter(allVmDisks new Predicate<DiskImageBase>(){   @Override public boolean eval(  DiskImageBase o){     return o.getinternal_drive_mapping().equals(_oldDisk.getinternal_drive_mapping());   } } ),METHOD_INVOCATION, line no: 99, 0.040756472491909376, 0.8125, 0.3333333333333333, 0.15048543689320387
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,o.getinternal_drive_mapping().equals(_oldDisk.getinternal_drive_mapping()),METHOD_INVOCATION, line no: 102, 0.03881541115583669, 0.19148936170212766, 0.5, 0.40540540540540543
get,SIMPLE_NAME, line no: 66,oldVmDevice=getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),ASSIGNMENT, line no: 65, 0.03782894736842105, 0.9583333333333334, 1.0, 0.039473684210526314
getVmDeviceDao,SIMPLE_NAME, line no: 66,DbFacade.getInstance().getVmDeviceDAO(),METHOD_INVOCATION, line no: 157, 0.03767660910518054, 0.12244897959183673, 1.0, 0.3076923076923077
